125,1,5,7
125,1,5,7
125,3,5,7
125,3,
125,9,
125,3,3,6
250,3,3,6
250,6,9
250,5,2,7
125,1,9,11
125,6,2
125,0,2
125,0,3,6
125,0,3,6
125,0,4,7
125,0,1,4
125,0,1,4
500,0,4,9
500,0,4,9
2000,0,7,10
500,0,7,10
500,0,7,10
250,0,2,4
250,0,2,4
250,0,4,7
500,0,1
250,0,
250,0,5,8
125,0,4,7
500,0,6,10
500,8,6,10
125,4,4,7
125,8,7,10
750,8,7,8
125,4,1,3
125,8,3,8
125,6,6,8
125,6,8
125,3,
125,6,
125,9,
125,3,
125,1,
125,1,1,10
125,1,1,10
125,1,4,7
125,1,4,7
125,5,4
125,1,4,7
125,5,4
250,10,4
125,2,7
125,4,7
125,8,7
250,4,9
250,2,9
125,1,3
125,11,7
500,1,
250,6,1
125,0,2,7
125,0,4,7
125,0,6,10
125,0,4
125,0,3,7
125,0,9
125,0,3,6
125,0,4,7
125,0,1,3
125,0,1,3
125,0,1,3
125,11,6,9
125,1,2,6
250,11,2,6
500,6,5,8
250,6,5,9
1000,6,9
750,6,4,9
250,6,4,9
125,0,4,9
125,0,1,4
125,0,3,6
125,0,3,6
125,0,4,5
125,0,5,8
125,0,1,3
125,0,5,9
125,6,5,9
125,6,3,7
125,6,2,3
125,2,2,3
125,1,4,9
125,2,3
125,4,3
125,8,1,3
125,4,5,7
125,1,5,7
125,1,3,7
125,11,4,9
250,1,5,9
